name,flag,description,source,header,cfg,is_analysis
AAEvalLegacyPass,-aa-eval,Exhaustive Alias Analysis Precision Evaluator,lib/Analysis/AliasAnalysisEvaluator.cpp,,False,True
AAResultsWrapperPass,-aa,Function Alias Analysis Results,lib/Analysis/AliasAnalysis.cpp,,False,True
AArch64A53Fix835769,-aarch64-fix-cortex-a53-835769-pass,AArch64 fix for A53 erratum 835769,lib/Target/AArch64/AArch64A53Fix835769.cpp,,False,False
AArch64A57FPLoadBalancing,-aarch64-a57-fp-load-balancing,AArch64 A57 FP Load-Balancing,lib/Target/AArch64/AArch64A57FPLoadBalancing.cpp,,False,False
AArch64AdvSIMDScalar,-aarch64-simd-scalar,AdvSIMD Scalar Operation Optimization,lib/Target/AArch64/AArch64AdvSIMDScalarPass.cpp,,False,False
AArch64BranchTargets,-aarch64-branch-targets,AArch64 Branch Targets,lib/Target/AArch64/AArch64BranchTargets.cpp,,False,False
AArch64CollectLOH,-aarch64-collect-loh,AArch64 Collect Linker Optimization Hint (LOH),lib/Target/AArch64/AArch64CollectLOH.cpp,,False,False
AArch64CompressJumpTables,-aarch64-jump-tables,AArch64 compress jump tables pass,lib/Target/AArch64/AArch64CompressJumpTables.cpp,,False,False
AArch64CondBrTuning,-aarch64-cond-br-tuning,AArch64 Conditional Branch Tuning,lib/Target/AArch64/AArch64CondBrTuning.cpp,,False,False
AArch64ConditionOptimizer,-aarch64-condopt,AArch64 CondOpt Pass,lib/Target/AArch64/AArch64ConditionOptimizer.cpp,,False,False
AArch64ConditionalCompares,-aarch64-ccmp,AArch64 CCMP Pass,lib/Target/AArch64/AArch64ConditionalCompares.cpp,,False,False
AArch64DAGToDAGISel,-aarch64-isel,AArch64 Instruction Selection,lib/Target/AArch64/AArch64ISelDAGToDAG.cpp,,False,False
AArch64DeadRegisterDefinitions,-aarch64-dead-defs,AArch64 Dead register definitions,lib/Target/AArch64/AArch64DeadRegisterDefinitionsPass.cpp,,False,False
AArch64ExpandPseudo,-aarch64-expand-pseudo,AArch64 pseudo instruction expansion pass,lib/Target/AArch64/AArch64ExpandPseudoInsts.cpp,,False,False
AArch64KCFI,-aarch64-kcfi,Insert KCFI indirect call checks,lib/Target/AArch64/AArch64KCFI.cpp,,False,False
AArch64LoadStoreOpt,-aarch64-ldst-opt,AArch64 load / store optimization pass,lib/Target/AArch64/AArch64LoadStoreOptimizer.cpp,,False,False
AArch64LowerHomogeneousPrologEpilog,-aarch64-lower-homogeneous-prolog-epilog,AArch64 homogeneous prolog/epilog lowering pass,lib/Target/AArch64/AArch64LowerHomogeneousPrologEpilog.cpp,,False,False
AArch64MIPeepholeOpt,-aarch64-mi-peephole-opt,AArch64 MI Peephole Optimization,lib/Target/AArch64/AArch64MIPeepholeOpt.cpp,,False,False
AArch64O0PreLegalizerCombiner,-aarch64-O0-prelegalizer-combiner,Combine AArch64 machine instrs before legalization,lib/Target/AArch64/GISel/AArch64O0PreLegalizerCombiner.cpp,,False,False
AArch64PostLegalizerCombiner,-aarch64-postlegalizer-combiner,Combine AArch64 MachineInstrs after legalization,lib/Target/AArch64/GISel/AArch64PostLegalizerCombiner.cpp,,False,False
AArch64PostLegalizerLowering,-aarch64-postlegalizer-lowering,Lower AArch64 MachineInstrs after legalization,lib/Target/AArch64/GISel/AArch64PostLegalizerLowering.cpp,,False,False
AArch64PostSelectOptimize,-aarch64-post-select-optimize,Optimize AArch64 selected instructions,lib/Target/AArch64/GISel/AArch64PostSelectOptimize.cpp,,False,False
AArch64PreLegalizerCombiner,-aarch64-prelegalizer-combiner,Combine AArch64 machine instrs before legalization,lib/Target/AArch64/GISel/AArch64PreLegalizerCombiner.cpp,,False,False
AArch64PromoteConstant,-aarch64-promote-const,AArch64 Promote Constant Pass,lib/Target/AArch64/AArch64PromoteConstant.cpp,,False,False
AArch64RedundantCopyElimination,-aarch64-copyelim,AArch64 redundant copy elimination pass,lib/Target/AArch64/AArch64RedundantCopyElimination.cpp,,False,False
AArch64SIMDInstrOpt,-aarch64-simdinstr-opt,AArch64 SIMD instructions optimization pass,lib/Target/AArch64/AArch64SIMDInstrOpt.cpp,,False,False
AArch64SLSHardening,-aarch64-sls-hardening,AArch64 sls hardening pass,lib/Target/AArch64/AArch64SLSHardening.cpp,,False,False
AArch64SpeculationHardening,-aarch64-speculation-hardening,AArch64 speculation hardening pass,lib/Target/AArch64/AArch64SpeculationHardening.cpp,,False,False
AArch64StackTagging,-aarch64-stack-tagging,AArch64 Stack Tagging,lib/Target/AArch64/AArch64StackTagging.cpp,,False,False
AArch64StackTaggingPreRA,-aarch64-stack-tagging-pre-ra,AArch64 Stack Tagging PreRA Pass,lib/Target/AArch64/AArch64StackTaggingPreRA.cpp,,False,False
AArch64StorePairSuppress,-aarch64-stp-suppress,AArch64 Store Pair Suppression,lib/Target/AArch64/AArch64StorePairSuppress.cpp,,False,False
